execution_order,run_id,config_id,rep,config_hash,scan_type,timing,fragmentation,decoys,padding,source_port,command_template
280,C0049-r1,C0049,1,2f5f3bb9a6,sA,T3,none,none,pad50,sp53,"nmap -sA -T3 --data-length 50 --source-port 53 -Pn -n -p 21,22,80,445,3306,6379 -oX <RUN_DIR>/nmap.xml --reason --open <TARGET_IP>"
281,C0322-r3,C0322,3,6aa1c7a2e8,sT,T5,mtu24,none,pad50,none,"nmap -sT -T5 --mtu 24 --data-length 50 -Pn -n -p 21,22,80,445,3306,6379 -oX <RUN_DIR>/nmap.xml --reason --open <TARGET_IP>"
282,C0138-r2,C0138,2,cdd8cde2ba,sT,T2,none,d5,pad50,sp53,"nmap -sT -T2 -D RND:5 --data-length 50 --source-port 53 -Pn -n -p 21,22,80,445,3306,6379 -oX <RUN_DIR>/nmap.xml --reason --open <TARGET_IP>"
283,C0312-r1,C0312,1,9cbda268e0,sF,T5,ff,none,none,none,"nmap -sF -T5 -f -f -Pn -n -p 21,22,80,445,3306,6379 -oX <RUN_DIR>/nmap.xml --reason --open <TARGET_IP>"
284,C0299-r2,C0299,2,34f2fb0d46,sF,T1,f,d5,pad50,none,"nmap -sF -T1 -f -D RND:5 --data-length 50 -Pn -n -p 21,22,80,445,3306,6379 -oX <RUN_DIR>/nmap.xml --reason --open <TARGET_IP>"
285,C0272-r3,C0272,3,b1ebb3050f,sU,T4,mtu24,d5,pad50,none,"nmap -sU -T4 --mtu 24 -D RND:5 --data-length 50 -Pn -n -p 21,22,80,445,3306,6379 -oX <RUN_DIR>/nmap.xml --reason --open <TARGET_IP>"
286,C0373-r1,C0373,1,1b2790c965,sU,T1,ff,none,pad50,none,"nmap -sU -T1 -f -f --data-length 50 -Pn -n -p 21,22,80,445,3306,6379 -oX <RUN_DIR>/nmap.xml --reason --open <TARGET_IP>"
287,C0117-r2,C0117,2,e8bdb81376,sT,T3,mtu24,d5,pad50,sp53,"nmap -sT -T3 --mtu 24 -D RND:5 --data-length 50 --source-port 53 -Pn -n -p 21,22,80,445,3306,6379 -oX <RUN_DIR>/nmap.xml --reason --open <TARGET_IP>"
288,C0302-r3,C0302,3,c4ae1f9a46,sA,T1,ff,none,none,sp53,"nmap -sA -T1 -f -f --source-port 53 -Pn -n -p 21,22,80,445,3306,6379 -oX <RUN_DIR>/nmap.xml --reason --open <TARGET_IP>"
289,C0034-r2,C0034,2,89308cc43b,sF,T1,ff,d10,none,none,"nmap -sF -T1 -f -f -D RND:10 -Pn -n -p 21,22,80,445,3306,6379 -oX <RUN_DIR>/nmap.xml --reason --open <TARGET_IP>"
290,C0269-r3,C0269,3,af85f94e55,sN,T2,mtu24,none,none,sp53,"nmap -sN -T2 --mtu 24 --source-port 53 -Pn -n -p 21,22,80,445,3306,6379 -oX <RUN_DIR>/nmap.xml --reason --open <TARGET_IP>"
291,C0155-r1,C0155,1,0e5b4211ee,sU,T3,none,none,pad50,none,"nmap -sU -T3 --data-length 50 -Pn -n -p 21,22,80,445,3306,6379 -oX <RUN_DIR>/nmap.xml --reason --open <TARGET_IP>"
292,C0041-r2,C0041,2,9ba1eb5aed,sS,T1,ff,d10,pad50,sp53,"nmap -sS -T1 -f -f -D RND:10 --data-length 50 --source-port 53 -Pn -n -p 21,22,80,445,3306,6379 -oX <RUN_DIR>/nmap.xml --reason --open <TARGET_IP>"
293,C0094-r3,C0094,3,00dd629d9b,sT,T3,mtu24,none,pad50,none,"nmap -sT -T3 --mtu 24 --data-length 50 -Pn -n -p 21,22,80,445,3306,6379 -oX <RUN_DIR>/nmap.xml --reason --open <TARGET_IP>"
294,C0053-r1,C0053,1,724c5261e2,sX,T5,mtu24,none,none,sp53,"nmap -sX -T5 --mtu 24 --source-port 53 -Pn -n -p 21,22,80,445,3306,6379 -oX <RUN_DIR>/nmap.xml --reason --open <TARGET_IP>"
295,C0245-r2,C0245,2,52effc3089,sA,T3,f,none,pad50,none,"nmap -sA -T3 -f --data-length 50 -Pn -n -p 21,22,80,445,3306,6379 -oX <RUN_DIR>/nmap.xml --reason --open <TARGET_IP>"
296,C0347-r1,C0347,1,bbae9fedcc,sU,T0,f,d5,pad50,none,"nmap -sU -T0 -f -D RND:5 --data-length 50 -Pn -n -p 21,22,80,445,3306,6379 -oX <RUN_DIR>/nmap.xml --reason --open <TARGET_IP>"
297,C0146-r2,C0146,2,c5cfcc6ed8,sF,T1,ff,d10,pad50,sp53,"nmap -sF -T1 -f -f -D RND:10 --data-length 50 --source-port 53 -Pn -n -p 21,22,80,445,3306,6379 -oX <RUN_DIR>/nmap.xml --reason --open <TARGET_IP>"
298,C0048-r3,C0048,3,b91024e328,sN,T0,f,d5,none,none,"nmap -sN -T0 -f -D RND:5 -Pn -n -p 21,22,80,445,3306,6379 -oX <RUN_DIR>/nmap.xml --reason --open <TARGET_IP>"
299,C0281-r2,C0281,2,f4f4d3b8fd,sA,T0,ff,d10,none,sp53,"nmap -sA -T0 -f -f -D RND:10 --source-port 53 -Pn -n -p 21,22,80,445,3306,6379 -oX <RUN_DIR>/nmap.xml --reason --open <TARGET_IP>"
300,C0343-r1,C0343,1,74f116cb9c,sS,T4,ff,none,none,sp53,"nmap -sS -T4 -f -f --source-port 53 -Pn -n -p 21,22,80,445,3306,6379 -oX <RUN_DIR>/nmap.xml --reason --open <TARGET_IP>"
301,C0039-r3,C0039,3,7a0ab948a2,sU,T4,ff,d10,none,sp53,"nmap -sU -T4 -f -f -D RND:10 --source-port 53 -Pn -n -p 21,22,80,445,3306,6379 -oX <RUN_DIR>/nmap.xml --reason --open <TARGET_IP>"
302,C0296-r2,C0296,2,98a63aae93,sF,T1,mtu24,d10,none,sp53,"nmap -sF -T1 --mtu 24 -D RND:10 --source-port 53 -Pn -n -p 21,22,80,445,3306,6379 -oX <RUN_DIR>/nmap.xml --reason --open <TARGET_IP>"
303,C0136-r3,C0136,3,cfe828241a,sS,T4,mtu24,d5,none,sp53,"nmap -sS -T4 --mtu 24 -D RND:5 --source-port 53 -Pn -n -p 21,22,80,445,3306,6379 -oX <RUN_DIR>/nmap.xml --reason --open <TARGET_IP>"
304,C0070-r2,C0070,2,96135645ca,sS,T2,none,d5,none,none,"nmap -sS -T2 -D RND:5 -Pn -n -p 21,22,80,445,3306,6379 -oX <RUN_DIR>/nmap.xml --reason --open <TARGET_IP>"
305,C0152-r2,C0152,2,fbfebf3c77,sN,T0,ff,d5,pad50,sp53,"nmap -sN -T0 -f -f -D RND:5 --data-length 50 --source-port 53 -Pn -n -p 21,22,80,445,3306,6379 -oX <RUN_DIR>/nmap.xml --reason --open <TARGET_IP>"
306,C0226-r1,C0226,1,0e5c80cfd0,sF,T5,none,none,pad50,none,"nmap -sF -T5 --data-length 50 -Pn -n -p 21,22,80,445,3306,6379 -oX <RUN_DIR>/nmap.xml --reason --open <TARGET_IP>"
307,C0295-r1,C0295,1,5b0f2cd898,sF,T0,none,none,none,sp53,"nmap -sF -T0 --source-port 53 -Pn -n -p 21,22,80,445,3306,6379 -oX <RUN_DIR>/nmap.xml --reason --open <TARGET_IP>"
308,C0347-r2,C0347,2,bbae9fedcc,sU,T0,f,d5,pad50,none,"nmap -sU -T0 -f -D RND:5 --data-length 50 -Pn -n -p 21,22,80,445,3306,6379 -oX <RUN_DIR>/nmap.xml --reason --open <TARGET_IP>"
309,C0108-r1,C0108,1,193708b825,sU,T2,f,d5,none,none,"nmap -sU -T2 -f -D RND:5 -Pn -n -p 21,22,80,445,3306,6379 -oX <RUN_DIR>/nmap.xml --reason --open <TARGET_IP>"
310,C0230-r1,C0230,1,f23f1a22a1,sS,T1,mtu24,d5,none,none,"nmap -sS -T1 --mtu 24 -D RND:5 -Pn -n -p 21,22,80,445,3306,6379 -oX <RUN_DIR>/nmap.xml --reason --open <TARGET_IP>"
311,C0061-r3,C0061,3,8dd48ac657,sX,T0,ff,d10,pad50,none,"nmap -sX -T0 -f -f -D RND:10 --data-length 50 -Pn -n -p 21,22,80,445,3306,6379 -oX <RUN_DIR>/nmap.xml --reason --open <TARGET_IP>"
312,C0213-r2,C0213,2,5642927e9b,sA,T5,mtu24,none,none,sp53,"nmap -sA -T5 --mtu 24 --source-port 53 -Pn -n -p 21,22,80,445,3306,6379 -oX <RUN_DIR>/nmap.xml --reason --open <TARGET_IP>"
313,C0169-r1,C0169,1,50d183469b,sN,T2,f,d10,pad50,none,"nmap -sN -T2 -f -D RND:10 --data-length 50 -Pn -n -p 21,22,80,445,3306,6379 -oX <RUN_DIR>/nmap.xml --reason --open <TARGET_IP>"
314,C0320-r2,C0320,2,831ff624e8,sN,T3,ff,d5,none,sp53,"nmap -sN -T3 -f -f -D RND:5 --source-port 53 -Pn -n -p 21,22,80,445,3306,6379 -oX <RUN_DIR>/nmap.xml --reason --open <TARGET_IP>"
315,C0281-r1,C0281,1,f4f4d3b8fd,sA,T0,ff,d10,none,sp53,"nmap -sA -T0 -f -f -D RND:10 --source-port 53 -Pn -n -p 21,22,80,445,3306,6379 -oX <RUN_DIR>/nmap.xml --reason --open <TARGET_IP>"
316,C0181-r1,C0181,1,6df1d9cb53,sU,T1,f,none,none,none,"nmap -sU -T1 -f -Pn -n -p 21,22,80,445,3306,6379 -oX <RUN_DIR>/nmap.xml --reason --open <TARGET_IP>"
317,C0009-r1,C0009,1,25c7038950,sX,T1,mtu24,d10,pad50,sp53,"nmap -sX -T1 --mtu 24 -D RND:10 --data-length 50 --source-port 53 -Pn -n -p 21,22,80,445,3306,6379 -oX <RUN_DIR>/nmap.xml --reason --open <TARGET_IP>"
318,C0278-r3,C0278,3,1570d5da1c,sF,T1,ff,none,pad50,sp53,"nmap -sF -T1 -f -f --data-length 50 --source-port 53 -Pn -n -p 21,22,80,445,3306,6379 -oX <RUN_DIR>/nmap.xml --reason --open <TARGET_IP>"
319,C0127-r2,C0127,2,974ab06f13,sT,T5,mtu24,none,none,none,"nmap -sT -T5 --mtu 24 -Pn -n -p 21,22,80,445,3306,6379 -oX <RUN_DIR>/nmap.xml --reason --open <TARGET_IP>"
320,C0257-r2,C0257,2,f3757db6f1,sT,T2,ff,d5,none,none,"nmap -sT -T2 -f -f -D RND:5 -Pn -n -p 21,22,80,445,3306,6379 -oX <RUN_DIR>/nmap.xml --reason --open <TARGET_IP>"
321,C0056-r1,C0056,1,d4535d6b11,sT,T2,mtu24,none,none,sp53,"nmap -sT -T2 --mtu 24 --source-port 53 -Pn -n -p 21,22,80,445,3306,6379 -oX <RUN_DIR>/nmap.xml --reason --open <TARGET_IP>"
322,C0231-r3,C0231,3,83a0ef8625,sX,T5,ff,none,pad50,sp53,"nmap -sX -T5 -f -f --data-length 50 --source-port 53 -Pn -n -p 21,22,80,445,3306,6379 -oX <RUN_DIR>/nmap.xml --reason --open <TARGET_IP>"
323,C0201-r2,C0201,2,09260b9ac1,sS,T2,none,none,none,none,"nmap -sS -T2 -Pn -n -p 21,22,80,445,3306,6379 -oX <RUN_DIR>/nmap.xml --reason --open <TARGET_IP>"
324,C0097-r1,C0097,1,bb181d0ae2,sT,T1,none,d10,none,sp53,"nmap -sT -T1 -D RND:10 --source-port 53 -Pn -n -p 21,22,80,445,3306,6379 -oX <RUN_DIR>/nmap.xml --reason --open <TARGET_IP>"
325,C0227-r2,C0227,2,266ee3693c,sN,T5,f,d10,pad50,none,"nmap -sN -T5 -f -D RND:10 --data-length 50 -Pn -n -p 21,22,80,445,3306,6379 -oX <RUN_DIR>/nmap.xml --reason --open <TARGET_IP>"
326,C0365-r2,C0365,2,3415eb6900,sS,T5,f,none,none,none,"nmap -sS -T5 -f -Pn -n -p 21,22,80,445,3306,6379 -oX <RUN_DIR>/nmap.xml --reason --open <TARGET_IP>"
327,C0273-r3,C0273,3,acc7501766,sN,T5,none,d5,none,sp53,"nmap -sN -T5 -D RND:5 --source-port 53 -Pn -n -p 21,22,80,445,3306,6379 -oX <RUN_DIR>/nmap.xml --reason --open <TARGET_IP>"
328,C0117-r1,C0117,1,e8bdb81376,sT,T3,mtu24,d5,pad50,sp53,"nmap -sT -T3 --mtu 24 -D RND:5 --data-length 50 --source-port 53 -Pn -n -p 21,22,80,445,3306,6379 -oX <RUN_DIR>/nmap.xml --reason --open <TARGET_IP>"
329,C0317-r1,C0317,1,16d456627b,sU,T5,mtu24,d10,pad50,none,"nmap -sU -T5 --mtu 24 -D RND:10 --data-length 50 -Pn -n -p 21,22,80,445,3306,6379 -oX <RUN_DIR>/nmap.xml --reason --open <TARGET_IP>"
330,C0176-r1,C0176,1,d72dc65612,sX,T4,none,d5,pad50,none,"nmap -sX -T4 -D RND:5 --data-length 50 -Pn -n -p 21,22,80,445,3306,6379 -oX <RUN_DIR>/nmap.xml --reason --open <TARGET_IP>"
331,C0113-r2,C0113,2,e36d2c0033,sF,T4,f,d10,pad50,none,"nmap -sF -T4 -f -D RND:10 --data-length 50 -Pn -n -p 21,22,80,445,3306,6379 -oX <RUN_DIR>/nmap.xml --reason --open <TARGET_IP>"
332,C0330-r3,C0330,3,b3daaed8ef,sX,T2,mtu24,none,pad50,none,"nmap -sX -T2 --mtu 24 --data-length 50 -Pn -n -p 21,22,80,445,3306,6379 -oX <RUN_DIR>/nmap.xml --reason --open <TARGET_IP>"
333,C0195-r2,C0195,2,2adbb3399f,sA,T3,f,none,none,sp53,"nmap -sA -T3 -f --source-port 53 -Pn -n -p 21,22,80,445,3306,6379 -oX <RUN_DIR>/nmap.xml --reason --open <TARGET_IP>"
334,C0207-r3,C0207,3,28520075ec,sX,T5,none,none,none,sp53,"nmap -sX -T5 --source-port 53 -Pn -n -p 21,22,80,445,3306,6379 -oX <RUN_DIR>/nmap.xml --reason --open <TARGET_IP>"
335,C0265-r3,C0265,3,4e027960e6,sF,T4,mtu24,none,none,sp53,"nmap -sF -T4 --mtu 24 --source-port 53 -Pn -n -p 21,22,80,445,3306,6379 -oX <RUN_DIR>/nmap.xml --reason --open <TARGET_IP>"
336,C0254-r3,C0254,3,6a55d7c98a,sS,T2,ff,d10,pad50,sp53,"nmap -sS -T2 -f -f -D RND:10 --data-length 50 --source-port 53 -Pn -n -p 21,22,80,445,3306,6379 -oX <RUN_DIR>/nmap.xml --reason --open <TARGET_IP>"
337,C0225-r1,C0225,1,0c0fae487b,sN,T5,f,d5,none,sp53,"nmap -sN -T5 -f -D RND:5 --source-port 53 -Pn -n -p 21,22,80,445,3306,6379 -oX <RUN_DIR>/nmap.xml --reason --open <TARGET_IP>"
338,C0321-r2,C0321,2,9ed1a187c7,sA,T2,mtu24,d5,pad50,sp53,"nmap -sA -T2 --mtu 24 -D RND:5 --data-length 50 --source-port 53 -Pn -n -p 21,22,80,445,3306,6379 -oX <RUN_DIR>/nmap.xml --reason --open <TARGET_IP>"
339,C0059-r3,C0059,3,59593f3886,sF,T0,none,d5,pad50,none,"nmap -sF -T0 -D RND:5 --data-length 50 -Pn -n -p 21,22,80,445,3306,6379 -oX <RUN_DIR>/nmap.xml --reason --open <TARGET_IP>"
340,C0324-r2,C0324,2,74ef917878,sF,T5,none,d10,none,none,"nmap -sF -T5 -D RND:10 -Pn -n -p 21,22,80,445,3306,6379 -oX <RUN_DIR>/nmap.xml --reason --open <TARGET_IP>"
341,C0213-r3,C0213,3,5642927e9b,sA,T5,mtu24,none,none,sp53,"nmap -sA -T5 --mtu 24 --source-port 53 -Pn -n -p 21,22,80,445,3306,6379 -oX <RUN_DIR>/nmap.xml --reason --open <TARGET_IP>"
342,C0120-r3,C0120,3,71b651a3ed,sN,T1,none,d5,none,sp53,"nmap -sN -T1 -D RND:5 --source-port 53 -Pn -n -p 21,22,80,445,3306,6379 -oX <RUN_DIR>/nmap.xml --reason --open <TARGET_IP>"
343,C0289-r3,C0289,3,e5794e90fb,sT,T0,mtu24,d5,pad50,sp53,"nmap -sT -T0 --mtu 24 -D RND:5 --data-length 50 --source-port 53 -Pn -n -p 21,22,80,445,3306,6379 -oX <RUN_DIR>/nmap.xml --reason --open <TARGET_IP>"
344,C0245-r1,C0245,1,52effc3089,sA,T3,f,none,pad50,none,"nmap -sA -T3 -f --data-length 50 -Pn -n -p 21,22,80,445,3306,6379 -oX <RUN_DIR>/nmap.xml --reason --open <TARGET_IP>"
345,C0239-r3,C0239,3,98e8ef389e,sA,T3,none,d10,pad50,none,"nmap -sA -T3 -D RND:10 --data-length 50 -Pn -n -p 21,22,80,445,3306,6379 -oX <RUN_DIR>/nmap.xml --reason --open <TARGET_IP>"
346,C0141-r1,C0141,1,0d69871e6f,sS,T3,mtu24,none,pad50,sp53,"nmap -sS -T3 --mtu 24 --data-length 50 --source-port 53 -Pn -n -p 21,22,80,445,3306,6379 -oX <RUN_DIR>/nmap.xml --reason --open <TARGET_IP>"
347,C0320-r1,C0320,1,831ff624e8,sN,T3,ff,d5,none,sp53,"nmap -sN -T3 -f -f -D RND:5 --source-port 53 -Pn -n -p 21,22,80,445,3306,6379 -oX <RUN_DIR>/nmap.xml --reason --open <TARGET_IP>"
348,C0305-r3,C0305,3,d8b1e00d2d,sU,T0,ff,d10,none,sp53,"nmap -sU -T0 -f -f -D RND:10 --source-port 53 -Pn -n -p 21,22,80,445,3306,6379 -oX <RUN_DIR>/nmap.xml --reason --open <TARGET_IP>"
349,C0150-r3,C0150,3,2aa4d4ed8a,sS,T4,ff,d10,pad50,sp53,"nmap -sS -T4 -f -f -D RND:10 --data-length 50 --source-port 53 -Pn -n -p 21,22,80,445,3306,6379 -oX <RUN_DIR>/nmap.xml --reason --open <TARGET_IP>"
350,C0012-r2,C0012,2,77397b6be8,sT,T2,f,d5,none,none,"nmap -sT -T2 -f -D RND:5 -Pn -n -p 21,22,80,445,3306,6379 -oX <RUN_DIR>/nmap.xml --reason --open <TARGET_IP>"
351,C0132-r3,C0132,3,a6d675c9ba,sA,T3,none,none,pad50,none,"nmap -sA -T3 --data-length 50 -Pn -n -p 21,22,80,445,3306,6379 -oX <RUN_DIR>/nmap.xml --reason --open <TARGET_IP>"
352,C0097-r2,C0097,2,bb181d0ae2,sT,T1,none,d10,none,sp53,"nmap -sT -T1 -D RND:10 --source-port 53 -Pn -n -p 21,22,80,445,3306,6379 -oX <RUN_DIR>/nmap.xml --reason --open <TARGET_IP>"
353,C0363-r3,C0363,3,3e9b26bec8,sF,T5,mtu24,none,none,sp53,"nmap -sF -T5 --mtu 24 --source-port 53 -Pn -n -p 21,22,80,445,3306,6379 -oX <RUN_DIR>/nmap.xml --reason --open <TARGET_IP>"
354,C0039-r1,C0039,1,7a0ab948a2,sU,T4,ff,d10,none,sp53,"nmap -sU -T4 -f -f -D RND:10 --source-port 53 -Pn -n -p 21,22,80,445,3306,6379 -oX <RUN_DIR>/nmap.xml --reason --open <TARGET_IP>"
355,C0271-r3,C0271,3,f7ade5c4bd,sF,T3,none,d10,pad50,sp53,"nmap -sF -T3 -D RND:10 --data-length 50 --source-port 53 -Pn -n -p 21,22,80,445,3306,6379 -oX <RUN_DIR>/nmap.xml --reason --open <TARGET_IP>"
356,C0188-r2,C0188,2,8c68b99d58,sU,T1,none,d10,none,sp53,"nmap -sU -T1 -D RND:10 --source-port 53 -Pn -n -p 21,22,80,445,3306,6379 -oX <RUN_DIR>/nmap.xml --reason --open <TARGET_IP>"
357,C0051-r1,C0051,1,18da616c3f,sF,T3,f,d5,pad50,sp53,"nmap -sF -T3 -f -D RND:5 --data-length 50 --source-port 53 -Pn -n -p 21,22,80,445,3306,6379 -oX <RUN_DIR>/nmap.xml --reason --open <TARGET_IP>"
358,C0096-r3,C0096,3,a78a4121ce,sX,T4,none,none,none,none,"nmap -sX -T4 -Pn -n -p 21,22,80,445,3306,6379 -oX <RUN_DIR>/nmap.xml --reason --open <TARGET_IP>"
359,C0340-r1,C0340,1,0af2efcc82,sS,T4,none,none,pad50,none,"nmap -sS -T4 --data-length 50 -Pn -n -p 21,22,80,445,3306,6379 -oX <RUN_DIR>/nmap.xml --reason --open <TARGET_IP>"
360,C0201-r3,C0201,3,09260b9ac1,sS,T2,none,none,none,none,"nmap -sS -T2 -Pn -n -p 21,22,80,445,3306,6379 -oX <RUN_DIR>/nmap.xml --reason --open <TARGET_IP>"
361,C0058-r1,C0058,1,caf760917c,sX,T0,f,d5,none,sp53,"nmap -sX -T0 -f -D RND:5 --source-port 53 -Pn -n -p 21,22,80,445,3306,6379 -oX <RUN_DIR>/nmap.xml --reason --open <TARGET_IP>"
362,C0330-r1,C0330,1,b3daaed8ef,sX,T2,mtu24,none,pad50,none,"nmap -sX -T2 --mtu 24 --data-length 50 -Pn -n -p 21,22,80,445,3306,6379 -oX <RUN_DIR>/nmap.xml --reason --open <TARGET_IP>"
363,C0190-r1,C0190,1,9e7e9caf2a,sA,T0,f,d5,none,none,"nmap -sA -T0 -f -D RND:5 -Pn -n -p 21,22,80,445,3306,6379 -oX <RUN_DIR>/nmap.xml --reason --open <TARGET_IP>"
364,C0325-r2,C0325,2,07752be5ce,sN,T1,f,d10,pad50,none,"nmap -sN -T1 -f -D RND:10 --data-length 50 -Pn -n -p 21,22,80,445,3306,6379 -oX <RUN_DIR>/nmap.xml --reason --open <TARGET_IP>"
365,C0268-r1,C0268,1,75fc7f20ed,sX,T0,mtu24,d10,none,none,"nmap -sX -T0 --mtu 24 -D RND:10 -Pn -n -p 21,22,80,445,3306,6379 -oX <RUN_DIR>/nmap.xml --reason --open <TARGET_IP>"
366,C0013-r3,C0013,3,f697292505,sX,T4,none,none,pad50,sp53,"nmap -sX -T4 --data-length 50 --source-port 53 -Pn -n -p 21,22,80,445,3306,6379 -oX <RUN_DIR>/nmap.xml --reason --open <TARGET_IP>"
367,C0055-r2,C0055,2,7760ea5ce9,sN,T4,mtu24,d5,none,sp53,"nmap -sN -T4 --mtu 24 -D RND:5 --source-port 53 -Pn -n -p 21,22,80,445,3306,6379 -oX <RUN_DIR>/nmap.xml --reason --open <TARGET_IP>"
368,C0206-r1,C0206,1,79e4f93184,sA,T0,none,none,pad50,none,"nmap -sA -T0 --data-length 50 -Pn -n -p 21,22,80,445,3306,6379 -oX <RUN_DIR>/nmap.xml --reason --open <TARGET_IP>"
369,C0135-r1,C0135,1,f539dfa470,sN,T2,f,d10,none,none,"nmap -sN -T2 -f -D RND:10 -Pn -n -p 21,22,80,445,3306,6379 -oX <RUN_DIR>/nmap.xml --reason --open <TARGET_IP>"
370,C0259-r1,C0259,1,85fc5a8b28,sT,T2,f,d5,none,sp53,"nmap -sT -T2 -f -D RND:5 --source-port 53 -Pn -n -p 21,22,80,445,3306,6379 -oX <RUN_DIR>/nmap.xml --reason --open <TARGET_IP>"
371,C0048-r2,C0048,2,b91024e328,sN,T0,f,d5,none,none,"nmap -sN -T0 -f -D RND:5 -Pn -n -p 21,22,80,445,3306,6379 -oX <RUN_DIR>/nmap.xml --reason --open <TARGET_IP>"
372,C0370-r1,C0370,1,0791b2ecc3,sU,T2,mtu24,d5,none,none,"nmap -sU -T2 --mtu 24 -D RND:5 -Pn -n -p 21,22,80,445,3306,6379 -oX <RUN_DIR>/nmap.xml --reason --open <TARGET_IP>"
373,C0247-r2,C0247,2,bdc548ba6a,sU,T3,f,d5,none,none,"nmap -sU -T3 -f -D RND:5 -Pn -n -p 21,22,80,445,3306,6379 -oX <RUN_DIR>/nmap.xml --reason --open <TARGET_IP>"
374,C0086-r2,C0086,2,bf37b2218d,sN,T3,mtu24,none,pad50,none,"nmap -sN -T3 --mtu 24 --data-length 50 -Pn -n -p 21,22,80,445,3306,6379 -oX <RUN_DIR>/nmap.xml --reason --open <TARGET_IP>"
375,C0197-r1,C0197,1,82dbcefcc4,sS,T4,ff,d5,pad50,sp53,"nmap -sS -T4 -f -f -D RND:5 --data-length 50 --source-port 53 -Pn -n -p 21,22,80,445,3306,6379 -oX <RUN_DIR>/nmap.xml --reason --open <TARGET_IP>"
376,C0305-r2,C0305,2,d8b1e00d2d,sU,T0,ff,d10,none,sp53,"nmap -sU -T0 -f -f -D RND:10 --source-port 53 -Pn -n -p 21,22,80,445,3306,6379 -oX <RUN_DIR>/nmap.xml --reason --open <TARGET_IP>"
377,C0123-r2,C0123,2,db5dfaec43,sS,T3,ff,none,pad50,sp53,"nmap -sS -T3 -f -f --data-length 50 --source-port 53 -Pn -n -p 21,22,80,445,3306,6379 -oX <RUN_DIR>/nmap.xml --reason --open <TARGET_IP>"
378,C0055-r1,C0055,1,7760ea5ce9,sN,T4,mtu24,d5,none,sp53,"nmap -sN -T4 --mtu 24 -D RND:5 --source-port 53 -Pn -n -p 21,22,80,445,3306,6379 -oX <RUN_DIR>/nmap.xml --reason --open <TARGET_IP>"
379,C0003-r3,C0003,3,8dd6bf43f7,sU,T3,ff,d5,pad50,sp53,"nmap -sU -T3 -f -f -D RND:5 --data-length 50 --source-port 53 -Pn -n -p 21,22,80,445,3306,6379 -oX <RUN_DIR>/nmap.xml --reason --open <TARGET_IP>"
380,C0210-r3,C0210,3,c27f4d8d8d,sN,T1,f,none,pad50,sp53,"nmap -sN -T1 -f --data-length 50 --source-port 53 -Pn -n -p 21,22,80,445,3306,6379 -oX <RUN_DIR>/nmap.xml --reason --open <TARGET_IP>"
381,C0255-r2,C0255,2,e649d10439,sS,T0,mtu24,d5,none,sp53,"nmap -sS -T0 --mtu 24 -D RND:5 --source-port 53 -Pn -n -p 21,22,80,445,3306,6379 -oX <RUN_DIR>/nmap.xml --reason --open <TARGET_IP>"
382,C0101-r2,C0101,2,a4a9fb438d,sN,T1,f,none,pad50,none,"nmap -sN -T1 -f --data-length 50 -Pn -n -p 21,22,80,445,3306,6379 -oX <RUN_DIR>/nmap.xml --reason --open <TARGET_IP>"
383,C0053-r3,C0053,3,724c5261e2,sX,T5,mtu24,none,none,sp53,"nmap -sX -T5 --mtu 24 --source-port 53 -Pn -n -p 21,22,80,445,3306,6379 -oX <RUN_DIR>/nmap.xml --reason --open <TARGET_IP>"
384,C0275-r3,C0275,3,cb0331ea71,sX,T4,f,none,none,none,"nmap -sX -T4 -f -Pn -n -p 21,22,80,445,3306,6379 -oX <RUN_DIR>/nmap.xml --reason --open <TARGET_IP>"
385,C0032-r3,C0032,3,1d049fe770,sU,T2,ff,none,none,sp53,"nmap -sU -T2 -f -f --source-port 53 -Pn -n -p 21,22,80,445,3306,6379 -oX <RUN_DIR>/nmap.xml --reason --open <TARGET_IP>"
386,C0342-r2,C0342,2,b4331ec6c6,sX,T1,none,none,pad50,sp53,"nmap -sX -T1 --data-length 50 --source-port 53 -Pn -n -p 21,22,80,445,3306,6379 -oX <RUN_DIR>/nmap.xml --reason --open <TARGET_IP>"
387,C0134-r2,C0134,2,23d7c80e5a,sS,T1,none,none,none,none,"nmap -sS -T1 -Pn -n -p 21,22,80,445,3306,6379 -oX <RUN_DIR>/nmap.xml --reason --open <TARGET_IP>"
388,C0291-r2,C0291,2,4d49449b26,sT,T4,f,none,none,none,"nmap -sT -T4 -f -Pn -n -p 21,22,80,445,3306,6379 -oX <RUN_DIR>/nmap.xml --reason --open <TARGET_IP>"
389,C0207-r2,C0207,2,28520075ec,sX,T5,none,none,none,sp53,"nmap -sX -T5 --source-port 53 -Pn -n -p 21,22,80,445,3306,6379 -oX <RUN_DIR>/nmap.xml --reason --open <TARGET_IP>"
390,C0158-r2,C0158,2,40e73e6fe5,sX,T3,f,none,pad50,sp53,"nmap -sX -T3 -f --data-length 50 --source-port 53 -Pn -n -p 21,22,80,445,3306,6379 -oX <RUN_DIR>/nmap.xml --reason --open <TARGET_IP>"
391,C0297-r2,C0297,2,0f3c6a5d3c,sN,T4,ff,d5,pad50,none,"nmap -sN -T4 -f -f -D RND:5 --data-length 50 -Pn -n -p 21,22,80,445,3306,6379 -oX <RUN_DIR>/nmap.xml --reason --open <TARGET_IP>"
